date,locked_time,player,prop,bet_direction,vegas_line,prediction,edge,edge_abs,confidence,odds,actual,result,profit
2026-01-20,2026-01-20 17:12:41,Buddy Hield,Pts+Reb+Ast,UNDER,14.0,5.7,-8.3,8.3,HIGH,-114,,,
2026-01-20,2026-01-20 17:12:41,Brandin Podziemski,Pts+Reb+Ast,UNDER,22.1,14.3,-7.8,7.8,HIGH,160,,,
2026-01-20,2026-01-20 17:12:41,Andre Drummond,Pts+Reb+Ast,UNDER,16.5,11.1,-5.4,5.4,HIGH,-125,,,
2026-01-20,2026-01-20 17:12:41,Andre Drummond,Pts+Reb,UNDER,15.5,10.5,-5.0,5.0,HIGH,-118,,,
2026-01-20,2026-01-20 17:12:41,Simone Fontecchio,Pts+Reb+Ast,UNDER,12.5,8.0,-4.5,4.5,MED,-135,,,
2026-01-20,2026-01-20 17:12:41,Will Richard,Pts+Reb+Ast,UNDER,14.2,10.3,-3.9,3.9,MED,-105,,,
2026-01-20,2026-01-20 17:12:41,Norman Powell,Pts+Reb+Ast,UNDER,30.5,26.8,-3.7,3.7,MED,125,,,
2026-01-20,2026-01-20 17:12:41,De'Anthony Melton,Pts+Reb+Ast,UNDER,18.5,15.3,-3.2,3.2,MED,-115,,,
2026-01-20,2026-01-20 17:12:41,Norman Powell,Pts+Ast,UNDER,26.5,23.5,-3.0,3.0,MED,120,,,
